city,patches,full,partial,none,full_pct
Chicago,48,48,0,0,100.0
Buenos Aires,5,5,0,0,100.0
Philadelphia,2,2,0,0,100.0
London,27340,27340,0,0,100.0
Salvador,1,1,0,0,100.0
Karachi,1140,1004,63,73,88.07
Hong Kong,3771,2904,66,801,77.01
San Jose,4812,3656,97,1059,75.98
Zurich,2515,1828,59,628,72.68
Sydney,4830,3429,126,1275,70.99
Paris,12511,7138,187,5186,57.05
Quezon City [Manila],384,217,29,138,56.51
Tokyo,884,494,29,361,55.88
Rome,5347,2970,186,2191,55.55
Nairobi,4828,2672,128,2028,55.34
Caracas,12,6,0,6,50.0
Melbourne,35093,16346,796,17951,46.58
Cape Town,11252,5222,162,5868,46.41
Lisbon,1258,578,29,651,45.95
Madrid,6785,3074,68,3643,45.31
New York,20371,9119,326,10926,44.76
Vancouver,30657,12623,712,17322,41.17
Washington D.C.,4206,1694,154,2358,40.28
Santiago,4798,1806,45,2947,37.64
Rio De Janeiro,13596,4889,449,8258,35.96
Los Angeles,11905,4135,470,7300,34.73
Cairo,17445,5961,499,10985,34.17
São Paulo,19570,6380,358,12832,32.6
Rawalpindi [Islamabad],8108,2554,123,5431,31.5
Guangzhou,10349,2768,316,7265,26.75
Nanjing,6356,1677,110,4569,26.38
Jakarta,4831,1212,88,3531,25.09
Qingdao,5482,1348,126,4008,24.59
Shanghai,7304,1658,110,5536,22.7
Dhaka,30,6,0,24,20.0
Beijing,5392,1052,17,4323,19.51
Mumbai,4834,848,67,3919,17.54
<outside city bboxes>,4224,606,52,3566,14.35
Berlin,19130,2620,408,16102,13.7
Moscow,4831,613,58,4160,12.69
Osaka [Kyoto],6443,780,100,5563,12.11
Munich,4832,508,10,4314,10.51
Lima,48,5,7,36,10.42
Istanbul,20431,1980,194,18257,9.69
Changsha,4667,438,27,4202,9.39
Wuhan,8261,726,110,7425,8.79
Cologne,15265,1260,97,13908,8.25
Tehran,4827,313,55,4459,6.48
Amsterdam,3451,54,4,3393,1.56
东营区,3240,3,1,3236,0.09
Bogota,8,0,0,8,0.0
Milan,2963,0,0,2963,0.0
